"Date","Price","Open","High","Low","Vol.","Change %"
"21-06-2025","103,472.9","103,287.2","103,697.6","103,133.1","47.27K","0.19%"
"20-06-2025","103,280.5","104,669.6","106,520.3","102,396.8","51.48K","-1.33%"
"19-06-2025","104,669.6","104,894.2","105,220.5","103,934.5","28.47K","-0.21%"
"18-06-2025","104,894.2","104,571.4","105,553.0","103,622.4","45.60K","0.32%"
"17-06-2025","104,559.8","106,769.8","107,747.4","103,386.3","60.73K","-2.04%"
"16-06-2025","106,740.4","105,594.0","108,899.3","104,993.8","50.95K","1.09%"
"15-06-2025","105,591.8","105,421.6","106,098.9","104,502.0","26.22K","0.16%"
"14-06-2025","105,421.5","106,028.5","106,196.9","104,321.0","30.99K","-0.62%"
"13-06-2025","106,080.3","105,702.7","106,147.0","102,739.6","73.84K","0.36%"
"12-06-2025","105,703.0","108,662.2","108,776.2","105,703.0","59.87K","-2.72%"
"11-06-2025","108,661.2","110,269.2","110,386.1","108,081.9","44.80K","-1.46%"
"10-06-2025","110,269.2","110,268.3","110,369.2","108,380.6","58.28K","0.00%"
"09-06-2025","110,268.3","105,739.6","110,404.9","105,333.3","64.28K","4.28%"
"08-06-2025","105,739.6","105,564.2","106,449.3","105,011.6","29.11K","0.17%"
"07-06-2025","105,564.2","104,308.3","105,911.7","103,911.0","32.39K","1.20%"
"06-06-2025","104,308.3","101,524.1","105,306.5","101,127.6","61.97K","2.74%"
"05-06-2025","101,521.9","104,690.6","105,914.4","100,421.1","73.53K","-3.03%"
"04-06-2025","104,695.6","105,383.5","105,971.2","104,224.0","50.06K","-0.66%"
"03-06-2025","105,388.3","105,845.6","106,758.4","104,886.9","49.47K","-0.43%"
"02-06-2025","105,845.6","105,635.2","105,930.7","103,729.7","46.44K","0.20%"
"01-06-2025","105,635.2","104,598.0","105,867.5","103,768.6","33.03K","0.99%"
"31-05-2025","104,598.0","103,981.9","104,888.4","103,091.3","35.80K","0.59%"
"30-05-2025","103,981.3","105,598.8","106,314.9","103,693.9","71.98K","-1.53%"
"29-05-2025","105,600.0","107,759.1","108,896.7","105,399.9","70.02K","-2.03%"
"28-05-2025","107,786.7","108,905.7","109,238.3","106,804.9","51.84K","-1.06%"
"27-05-2025","108,944.0","109,455.3","110,718.7","107,572.2","65.02K","-0.47%"
"26-05-2025","109,455.3","109,014.9","110,401.4","108,694.0","48.01K","0.40%"
"25-05-2025","109,021.1","107,763.0","109,203.4","106,648.3","52.49K","1.17%"
"24-05-2025","107,763.0","107,313.5","109,476.4","106,904.5","52.26K","0.42%"
"23-05-2025","107,313.4","111,702.6","111,778.7","106,855.4","87.57K","-3.93%"
"22-05-2025","111,702.7","109,632.6","111,953.6","109,281.8","96.35K","1.88%"
"21-05-2025","109,640.1","106,814.7","110,628.8","106,109.5","124.17K","2.64%"
